,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Iso_2_295,106,101,166,117,79,106,88,104,86,109
Iso_2_296,686,436,511,450,517,433,519,583,617,464
Iso_2_297,742,798,813,870,973,825,973,900,731,917
Iso_2_298,129,42,63,81,75,90,101,42,40,78
Iso_2_299,4,4,1,2,5,4,9,3,1,7
Iso_2_300,151,195,145,171,165,130,166,262,223,225
Iso_2_301,65,30,24,47,45,41,31,56,39,36
Iso_2_302,103,80,63,90,52,64,56,98,74,53
Iso_2_303,85,45,47,38,29,75,85,50,64,76
Iso_2_304,25,35,68,25,48,23,71,83,56,41
Iso_2_305,23,55,23,44,37,46,29,22,26,36
Iso_2_306,53,57,55,59,57,40,62,64,47,42
Iso_2_307,308,288,368,356,239,281,318,367,333,272
Iso_2_308,76,92,119,109,110,130,89,89,103,121
Iso_2_309,357,293,343,302,333,365,339,350,322,320
Iso_2_310,25,53,36,29,34,38,40,20,53,24
Iso_2_311,245,230,272,281,210,211,298,181,184,256
Iso_2_312,12,5,5,4,5,14,17,9,9,8
Iso_2_313,2427,2541,4035,2994,4739,4476,3289,5622,2812,5717
Iso_2_314,60,41,38,25,32,39,43,65,43,55
Iso_2_315,214,360,288,202,229,215,283,219,128,260
Iso_2_316,724,485,326,348,523,499,343,357,460,445
Iso_2_317,21,54,18,26,47,37,14,51,33,21
Iso_2_318,1514,1383,1131,1871,1260,1458,1667,1617,1364,928
Iso_2_319,267,169,221,215,159,236,136,234,380,247
Iso_2_320,1840,1303,1492,2020,1466,2727,1776,1448,2342,1608
Iso_2_321,82,122,147,210,204,162,226,154,151,198
Iso_2_322,51,59,79,98,91,91,83,142,65,85
Iso_2_323,200,84,182,57,85,62,94,28,29,16
Iso_2_324,37,69,29,27,68,80,75,48,64,41
Iso_2_325,131,189,184,189,137,130,153,133,149,144
Iso_2_326,223,166,228,240,214,229,191,172,223,160
Iso_2_327,844,869,745,913,672,660,682,903,600,898
Iso_2_328,401,478,659,483,521,415,311,597,389,396
Iso_2_329,493,425,381,539,389,342,449,443,425,563
Iso_2_330,126,91,151,122,184,168,141,135,120,138
Iso_2_331,7,21,5,25,10,8,2,14,16,17
Iso_2_332,34,14,40,33,7,43,17,28,4,16
Iso_2_333,20,15,28,36,9,23,48,30,35,43
Iso_2_334,158,146,136,150,139,129,161,144,126,104
Iso_2_335,1,0,2,3,1,2,5,3,1,3
Iso_2_336,100,98,142,155,140,107,138,108,116,104
Iso_2_337,7,30,14,16,12,13,47,12,16,11
Iso_2_338,415,323,353,279,362,295,261,447,341,308
Iso_2_339,80,58,111,93,45,68,61,84,94,64
Iso_2_340,57,64,64,41,76,30,42,44,37,47
Iso_2_341,2103,2121,1978,2251,1925,2158,1971,3373,2498,2355
Iso_2_342,17,12,27,25,13,24,49,37,18,32
Iso_2_343,5,1,5,2,4,2,9,8,1,6
Iso_2_344,51,599,274,240,336,164,148,219,164,325
Iso_2_345,43,51,11,32,39,31,35,37,31,37
Iso_2_346,879,928,810,1153,680,914,786,698,729,672
Iso_2_347,589,333,1139,683,990,252,359,932,361,91
Iso_2_348,189,263,220,161,223,210,217,236,108,196
Iso_2_349,1283,1133,1010,1378,979,961,1467,864,1017,973
Iso_2_350,258,274,196,217,202,248,311,245,236,274
Iso_2_351,813,379,561,469,553,388,349,506,409,614
Iso_2_352,0,2,0,0,0,0,1,0,1,1
Iso_2_353,568,406,424,369,388,393,797,500,549,340
Iso_2_354,250,347,298,307,287,347,392,339,229,372
Iso_2_355,367,311,254,282,316,328,230,368,344,346
Iso_2_356,117,109,109,154,68,143,96,178,101,57
Iso_2_357,111,78,98,70,119,80,62,113,21,156
Iso_2_358,31,34,39,20,41,16,27,20,21,35
Iso_2_359,4,7,2,3,3,4,12,16,6,2
Iso_2_360,368,297,265,263,386,255,238,362,391,327
Iso_2_361,67,41,46,42,56,58,38,52,59,36
Iso_2_362,9,5,6,4,3,1,7,5,3,6
Iso_2_363,10,15,11,11,4,10,10,21,19,11
Iso_2_364,123,199,98,149,156,162,125,153,140,148
Iso_2_365,621,637,1111,572,761,687,470,842,773,780
Iso_2_366,232,244,378,357,471,341,596,484,213,344
Iso_2_367,2,3,8,9,2,3,3,1,2,3
Iso_2_368,183,144,388,129,161,43,395,229,455,95
Iso_2_369,518,514,467,494,496,714,536,524,458,567
Iso_2_370,253,481,687,525,428,393,652,411,401,504
Iso_2_371,612,698,823,549,612,679,694,756,703,673
Iso_2_372,6,14,8,13,16,9,10,2,11,21
Iso_2_373,3473,4062,3611,3110,3332,3854,3379,3699,3772,2701
Iso_2_374,343,583,539,459,365,463,457,525,397,433
Iso_2_375,113,68,22,37,98,90,102,128,102,57
Iso_2_376,1,12,30,20,12,15,8,14,17,16
Iso_2_377,29,18,17,32,18,21,23,3,10,6
Iso_2_378,430,548,638,699,421,414,536,641,599,608
Iso_2_379,288,309,227,211,302,264,310,293,249,408
Iso_2_380,7,25,0,28,13,19,32,18,23,39
Iso_2_381,357,1340,1127,893,895,789,543,310,939,753
Iso_2_382,600,346,225,168,421,220,313,195,256,301
Iso_2_383,68,82,69,51,58,77,94,83,58,87
Iso_2_384,92,45,87,67,36,59,61,47,105,36
Iso_2_385,67,40,24,49,31,78,71,37,116,52
Iso_2_386,19,28,13,19,15,18,25,13,21,20
Iso_2_387,15,22,19,12,7,12,8,7,8,19
Iso_2_388,369,443,345,424,360,380,442,440,413,406
Iso_2_389,247,287,290,257,293,265,198,185,300,262
Iso_2_390,840,1033,955,918,1147,1013,1229,1170,1217,874
Iso_2_391,177,194,74,154,237,132,111,155,150,106
Iso_2_392,11,7,5,15,12,3,5,8,4,7
Iso_2_393,8,6,8,4,7,11,6,13,8,8
Iso_2_394,9,9,2,6,3,10,6,7,6,10
Iso_2_395,26,30,35,29,37,38,30,26,34,31
Iso_2_396,9,5,6,5,19,12,1,10,3,1
Iso_2_397,235,178,167,120,224,129,287,227,295,202
Iso_2_398,2705,3253,2949,2040,2147,2628,2175,2829,2433,2498
Iso_2_399,3,2,1,1,4,4,0,2,4,8
Iso_2_400,150,168,161,198,148,166,91,114,121,133
Iso_2_401,26,18,21,12,7,28,25,9,13,26
Iso_2_402,21,19,44,19,41,22,54,25,15,26
Iso_2_403,3,3,6,7,7,0,8,7,2,5
Iso_2_404,151,86,57,90,154,111,92,77,32,159
Iso_2_405,410,702,549,526,588,591,518,584,726,535
Iso_2_406,145,125,126,157,170,87,128,150,197,174
Iso_2_407,176,200,188,222,158,125,220,122,230,233
Iso_2_408,815,1490,862,572,1106,1157,672,436,1206,899
Iso_2_409,8,23,11,41,25,15,15,45,29,22
Iso_2_410,86,100,94,125,56,70,73,82,75,106
Iso_2_411,5,5,4,2,4,3,4,6,2,11
Iso_2_412,472,476,720,688,707,520,910,631,625,651
Iso_2_413,210,208,246,108,242,93,368,196,269,212
Iso_2_414,62,150,346,105,204,176,62,133,6,60
Iso_2_415,58,24,65,49,71,39,80,79,52,60
Iso_2_416,56,21,86,79,41,40,57,81,61,47
Iso_2_417,483,134,314,167,135,392,243,160,258,204
Iso_2_418,39,92,72,121,100,54,75,109,72,55
Iso_2_419,239,226,211,229,274,311,195,264,241,197
Iso_2_420,576,462,393,472,467,502,291,573,428,487
Iso_2_421,357,303,247,375,174,645,301,524,269,446
Iso_2_422,4,1,13,4,15,7,22,7,6,11
Iso_2_423,171,199,141,143,225,260,156,189,134,204
Iso_2_424,557,406,427,450,523,471,450,516,599,514
Iso_2_425,36,33,51,33,75,53,37,50,73,51
Iso_2_426,62,90,87,75,89,38,55,65,94,115
Iso_2_427,7,12,6,8,9,2,11,12,7,15
Iso_2_428,9,5,5,4,0,2,6,3,0,4
Iso_2_429,865,1671,826,670,1378,1272,1633,1389,1139,999
Iso_2_430,46,81,26,66,57,112,45,25,71,69
Iso_2_431,18,61,147,62,47,78,116,88,89,65
Iso_2_432,276,479,386,432,330,472,406,453,466,358
Iso_2_433,174,440,314,396,407,356,323,495,231,383
Iso_2_434,7,3,1,4,5,4,0,3,0,3
Iso_2_435,547,361,396,295,295,303,515,481,185,205
Iso_2_436,402,428,463,371,438,484,388,374,470,399
Iso_2_437,17,3,5,2,2,4,0,5,2,5
Iso_2_438,181,166,215,224,179,285,96,125,94,162
Iso_2_439,51,66,64,78,24,56,51,43,24,57
Iso_2_440,712,637,933,605,724,787,776,707,742,640
Iso_2_441,1464,1503,1394,1395,1704,1840,1686,1476,1565,1715
Iso_2_442,201,135,119,151,166,157,128,104,110,142
Iso_2_443,180,199,218,331,195,233,197,207,188,206
Iso_2_444,74,106,89,68,54,59,37,206,103,71
Iso_2_445,20,2,5,9,10,6,12,3,5,7
Iso_2_446,10,10,7,1,9,5,7,1,3,3
Iso_2_447,574,524,563,403,559,590,619,707,437,608
Iso_2_448,104,161,174,146,171,137,193,159,141,256
Iso_2_449,237,263,218,201,265,202,235,230,189,234
Iso_2_450,9,3,21,12,7,11,5,9,6,8
Iso_2_451,44,65,91,41,83,31,34,63,70,52
Iso_2_452,1,9,7,9,3,2,12,8,8,9
Iso_2_453,530,634,832,710,506,465,584,609,648,1142
Iso_2_454,21,27,26,25,47,23,29,17,23,15
Iso_2_455,743,642,858,526,803,566,768,657,737,753
Iso_2_456,120,72,88,117,98,91,91,60,44,71
Iso_2_457,401,309,318,320,260,263,331,363,275,300
Iso_2_458,71,85,76,179,63,17,128,125,96,127
Iso_2_459,196,215,123,208,148,188,221,152,147,116
Iso_2_460,309,249,297,126,197,241,317,562,298,245
Iso_2_461,240,297,320,255,288,257,328,379,272,289
Iso_2_462,122,192,152,341,161,217,259,194,185,214
Iso_2_463,437,468,689,515,368,352,400,553,523,597
Iso_2_464,74,31,77,98,27,85,21,48,29,25
Iso_2_465,2,2,0,1,1,0,2,1,2,1
Iso_2_466,25,56,40,56,33,33,41,44,32,29
Iso_2_467,68,50,49,51,47,40,53,43,47,42
Iso_2_468,169,166,214,210,184,172,160,172,196,192
Iso_2_469,17162,15469,14224,13048,21143,18553,14366,19869,17084,21653
Iso_2_470,139,187,234,199,237,203,153,217,226,258
Iso_2_471,1262,1797,1904,1656,1887,1458,1532,1493,2360,2082
Iso_2_472,67,74,60,72,145,79,129,135,103,97
Iso_2_473,660,387,318,447,468,201,252,491,690,130
Iso_2_474,115,86,98,90,103,100,76,89,77,100
Iso_2_475,2,6,8,8,2,8,5,2,2,5
Iso_2_476,1383,1227,1290,1303,1120,1183,1751,1317,1255,1437
Iso_2_477,69,75,65,53,65,83,71,45,73,64
Iso_2_478,47,21,44,203,196,123,192,222,262,210
Iso_2_479,46,30,53,39,103,83,33,76,127,102
Iso_2_480,80,89,121,166,93,130,134,107,123,89
Iso_2_481,146,117,66,93,62,138,118,173,121,100
Iso_2_482,11,14,13,14,5,8,18,5,6,20
Iso_2_483,70,82,139,179,78,108,274,77,122,172
Iso_2_484,244,234,310,314,364,286,290,240,203,378
Iso_2_485,13,45,21,41,33,12,17,24,37,18
Iso_2_486,240,190,215,186,242,167,219,172,182,275
Iso_2_487,215,226,240,227,212,165,187,143,201,143
Iso_2_488,1082,1132,851,911,972,1425,876,1158,1258,945
Iso_2_489,3,4,9,1,1,1,6,11,4,2
Iso_2_490,39,49,66,19,33,49,49,33,40,47
Iso_2_491,111,292,160,88,173,144,96,120,98,135
Iso_2_492,58,33,52,16,36,40,11,35,24,13
Iso_2_493,259,286,286,185,362,254,314,300,365,271
Iso_2_494,343,374,221,445,190,192,343,391,246,234
Iso_2_495,170,230,207,181,238,178,292,260,152,178
Iso_2_496,9,59,21,21,10,14,19,69,58,16
Iso_2_497,290,305,305,172,353,297,286,339,246,349
Iso_2_498,6,16,25,9,15,30,15,8,21,17
Iso_2_499,211,185,158,157,180,184,193,171,132,220
Iso_2_500,54,202,218,136,30,254,180,91,65,156
Iso_2_501,56,90,87,40,268,70,75,27,34,91
Iso_2_502,433,431,274,404,609,445,456,479,155,646
Iso_2_503,1266,809,966,1209,1019,1074,952,824,1059,1056
Iso_2_504,186,518,453,253,390,421,336,302,277,523
Iso_2_505,14,15,13,9,13,11,13,9,19,8
Iso_2_506,17,20,37,49,20,25,24,32,38,31
Iso_2_507,60,50,37,37,56,57,76,27,31,26
Iso_2_508,211,304,317,185,394,377,438,526,509,326
Iso_2_509,1342,1484,1359,1443,1350,1344,1445,1569,1519,1690
Iso_2_510,292,665,512,850,290,324,385,571,729,454
Iso_2_511,22,17,13,15,24,8,70,7,70,38
Iso_2_512,69,112,96,83,70,62,43,82,68,79
Iso_2_513,5,7,5,10,2,7,6,9,15,10
Iso_2_514,42,74,20,27,47,67,7,77,64,30
Iso_2_515,48,58,64,68,49,43,35,56,41,46
Iso_2_516,4,6,2,4,2,3,3,3,2,4
Iso_2_517,78,174,57,278,253,97,204,221,153,86
Iso_2_518,607,589,441,526,471,459,553,533,558,554
Iso_2_519,839,1106,975,1097,1001,1149,845,746,908,880
Iso_2_520,753,894,877,788,1156,985,851,675,1032,846
Iso_2_521,5241,4962,5142,6259,6308,5992,5085,5167,4977,7587
Iso_2_522,14,13,9,3,12,16,11,5,7,8
Iso_2_523,67,107,66,51,70,91,98,99,102,78
Iso_2_524,117,163,119,194,98,140,209,143,117,157
Iso_2_525,33,31,29,32,28,31,19,21,30,24
Iso_2_526,10,3,8,10,3,12,7,3,7,8
Iso_2_527,157,240,239,213,198,216,224,283,222,229
Iso_2_528,15,18,6,8,18,9,6,7,5,8
Iso_2_529,491,563,512,347,456,347,557,490,505,418
Iso_2_530,131,56,58,57,90,25,39,75,93,48
Iso_2_531,171,251,180,227,217,168,206,198,243,204
Iso_2_532,338,498,386,416,312,347,422,374,357,356
Iso_2_533,360,467,301,470,560,206,176,366,139,459
Iso_2_534,14,47,20,27,23,23,40,24,46,35
Iso_2_535,33,28,59,38,65,50,60,31,27,30
Iso_2_536,30,47,54,26,34,35,49,57,42,22
Iso_2_537,333,310,508,591,461,302,403,359,419,239
Iso_2_538,9,0,6,1,8,1,7,8,14,3
Iso_2_539,223,256,276,293,170,249,246,270,291,278
Iso_2_540,135,144,112,109,129,153,104,111,155,128
Iso_2_541,58,81,44,52,47,84,27,40,95,61
Iso_2_542,227,305,271,464,319,349,339,415,291,263
Iso_2_543,1620,1584,1395,1749,1748,1466,1776,1429,1608,1820
Iso_2_544,706,653,1252,829,1242,794,1192,875,1057,908
Iso_2_545,632,563,653,450,560,847,613,657,531,636
Iso_2_546,26,3,9,12,11,7,14,10,16,33
Iso_2_547,37,71,76,49,51,73,67,132,52,125
Iso_2_548,122,162,155,134,139,147,133,220,246,150
Iso_2_549,120,61,73,198,96,119,118,77,63,88
Iso_2_550,659,615,566,420,514,516,436,429,530,504
Iso_2_551,63,45,48,42,83,67,55,56,59,69
Iso_2_552,74,67,75,38,69,70,52,89,71,50
Iso_2_553,461,720,428,182,244,329,571,542,292,288
Iso_2_554,1092,919,695,682,754,681,562,635,643,895
Iso_2_555,473,317,497,575,457,327,348,379,366,301
Iso_2_556,370,392,439,341,321,407,353,371,469,340
Iso_2_557,159,195,258,250,208,186,251,160,150,205
Iso_2_558,881,895,1232,1151,801,1093,1016,1034,1016,1423
Iso_2_559,11,18,13,6,15,13,17,10,11,10
Iso_2_560,1186,1351,1159,1408,1232,1199,1315,1320,1444,1204
Iso_2_561,129,153,110,165,155,108,179,134,111,140
Iso_2_562,17,39,40,27,20,63,15,18,63,9
Iso_2_563,943,1050,930,675,847,846,781,726,1133,852
Iso_2_564,456,495,486,421,392,510,405,410,387,442
Iso_2_565,193,97,98,18,96,54,110,111,101,93
Iso_2_566,38,63,64,28,41,74,50,44,59,64
Iso_2_567,426,564,505,582,599,645,419,472,547,505
Iso_2_568,405,267,345,346,379,313,315,424,417,375
Iso_2_569,344,242,225,88,404,155,176,151,233,197
Iso_2_570,656,402,436,502,503,674,377,486,613,332
Iso_2_571,13,36,17,11,18,46,5,11,13,5
Iso_2_572,587,813,518,448,749,607,391,637,527,484
Iso_2_573,914,2161,933,1144,1692,1315,1744,1405,1565,1023
Iso_2_574,105,76,50,100,88,41,34,44,82,97
Iso_2_575,22,26,37,19,24,22,36,19,9,18
Iso_2_576,73,142,73,42,59,33,81,49,63,91
Iso_2_577,275,211,268,239,330,229,244,326,320,433
Iso_2_578,171,200,209,210,217,219,176,232,202,181
Iso_2_579,1244,1051,1026,1840,606,794,1510,1317,1197,836
Iso_2_580,1018,1542,1663,1755,1433,1476,1847,2061,1597,1274
Iso_2_581,1328,1957,1120,1408,1401,1936,1653,1370,1341,1609
Iso_2_582,14,12,76,18,16,56,34,19,73,27
Iso_2_583,25,12,41,26,12,22,23,39,32,19
Iso_2_584,16,11,22,27,19,32,7,46,12,13
Iso_2_585,111,136,88,132,155,140,133,110,95,153
Iso_2_586,735,589,699,689,621,456,528,746,693,640
Iso_2_587,28,9,44,28,12,12,16,20,20,7
Iso_2_588,150,381,75,308,165,276,215,170,202,223
Iso_2_589,933,851,960,659,882,837,665,638,860,790
Iso_2_590,122,180,226,133,244,187,161,163,167,179
Iso_2_591,4,14,1,1,8,2,2,1,6,2
Iso_2_592,485,442,425,415,519,381,293,480,396,246
Iso_2_593,404,863,824,513,715,619,731,546,914,525
Iso_2_594,8,8,7,10,20,21,27,58,30,29
Iso_2_595,57,32,32,5,39,16,17,15,30,25
Iso_2_596,262,190,199,149,210,236,226,177,257,227
Iso_2_597,25,77,60,22,25,26,13,51,146,37
Iso_2_598,67,91,56,91,116,25,57,81,59,43
Iso_2_599,24,4,6,23,4,21,10,15,16,8
Iso_2_600,81,88,120,97,111,93,104,99,106,69
Iso_2_601,82,61,82,85,100,49,70,62,96,73
Iso_2_602,33,71,66,34,37,44,31,49,62,57
Iso_2_603,437,203,736,403,530,583,492,532,588,365
Iso_2_604,92,86,102,54,73,119,144,116,125,61
Iso_2_605,618,875,758,735,886,714,616,786,703,484
Iso_2_606,28,29,25,26,7,28,23,7,17,27
Iso_2_607,41,60,29,15,32,154,46,21,10,85
Iso_2_608,122,143,142,131,143,95,130,114,114,151
Iso_2_609,28,38,24,36,31,29,45,45,32,31
Iso_2_610,160,255,147,213,106,259,227,122,236,259
Iso_2_611,1,0,0,0,0,1,0,1,1,0
Iso_2_612,128,155,172,134,179,129,147,215,110,132
Iso_2_613,865,629,664,614,1016,754,541,767,572,777
Iso_2_614,287,358,145,292,228,231,272,199,280,183
Iso_2_615,9,16,23,13,20,12,21,24,21,17
Iso_2_616,1,2,3,0,0,1,0,0,2,2
Iso_2_617,1395,1044,1078,1038,836,783,1165,1283,1181,1153
Iso_2_618,180,134,217,132,255,148,216,135,153,240
Iso_2_619,556,630,472,549,557,622,489,647,583,668
Iso_2_620,63,43,49,43,49,54,24,64,53,62
Iso_2_621,510,449,467,392,486,589,585,422,412,457
Iso_2_622,1227,1236,1013,1087,1229,1265,1299,1096,1038,1224
Iso_2_623,9,12,29,13,19,15,17,27,20,21
Iso_2_624,491,619,639,633,743,675,645,636,657,767
Iso_2_625,13,15,10,17,17,18,21,22,9,12
Iso_2_626,11,28,3,9,11,20,14,21,6,15
Iso_2_627,98,120,104,132,107,110,113,132,72,91
Iso_2_628,17,43,20,29,7,52,8,12,102,46
Iso_2_629,6,17,32,9,30,50,31,41,39,45
Iso_2_630,308,365,348,286,321,337,281,283,356,298
Iso_2_631,203,365,266,468,157,356,510,219,369,462
Iso_2_632,80,114,222,149,143,187,125,113,209,189
Iso_2_633,131,142,157,154,115,142,124,172,115,123
Iso_2_634,589,652,556,560,657,655,537,572,541,605
Iso_2_635,67,87,66,79,72,63,75,39,79,42
Iso_2_636,28,33,24,29,35,28,45,24,34,31
Iso_2_637,274,179,209,283,182,220,250,261,206,105
Iso_2_638,380,583,357,285,568,322,517,271,320,276
Iso_2_639,9,5,8,3,8,9,8,6,6,7
Iso_2_640,387,552,323,415,233,371,488,325,315,497
Iso_2_641,838,1292,1151,1177,1129,987,1009,1323,996,1316
Iso_2_642,855,665,762,654,545,798,643,796,482,453
Iso_2_643,278,279,242,290,241,259,318,254,290,204
Iso_2_644,5169,3309,6742,3909,5129,5016,4415,4126,4012,6073
Iso_2_645,49,75,66,50,83,61,74,67,54,67
Iso_2_646,239,119,140,167,191,272,129,157,125,198
Iso_2_647,1161,1014,1134,1211,1080,1599,1003,1188,1238,859
Iso_2_648,144,182,214,197,239,208,137,236,192,183
Iso_2_649,1389,590,1078,818,1045,883,1012,794,732,987
Iso_2_650,25,75,38,28,16,20,39,39,15,21
Iso_2_651,46,53,80,52,65,4,45,14,31,40
Iso_2_652,760,871,752,626,663,717,577,725,670,720
Iso_2_653,222,165,285,187,248,355,296,197,181,148
Iso_2_654,286,316,226,211,114,300,72,216,108,224
Iso_2_655,274,232,274,224,359,204,183,313,358,231
Iso_2_656,1753,1494,1455,1467,1778,1197,1504,2089,1708,1455
Iso_2_657,37,118,34,24,84,73,17,50,67,38
Iso_2_658,159,212,105,230,299,169,274,103,128,208
Iso_2_659,105,69,78,86,123,79,119,75,82,88
Iso_2_660,7,7,12,11,9,10,13,7,11,13
Iso_2_661,3250,3262,2916,4111,3529,2940,2919,3925,3189,3809
Iso_2_662,17,12,8,10,11,8,2,3,8,4
Iso_2_663,154,261,147,320,310,257,368,284,137,315
Iso_2_664,8,5,14,1,5,15,18,6,6,4
Iso_2_665,30,12,16,26,25,29,35,32,14,67
Iso_2_666,1158,1165,1143,1407,987,1404,1051,1052,1205,1297
Iso_2_667,884,836,337,541,535,474,568,473,511,433
Iso_2_668,688,1243,500,660,1254,1183,1560,811,1297,530
Iso_2_669,134,180,139,137,150,108,168,148,137,105
Iso_2_670,52,58,85,90,38,56,64,58,53,77
Iso_2_671,5,2,1,1,2,22,6,12,6,4
Iso_2_672,14,12,12,10,14,12,9,10,7,6
Iso_2_673,6,12,25,14,19,16,12,15,20,42
Iso_2_674,9,6,9,6,12,6,5,8,3,9
Iso_2_675,149,149,217,149,173,176,198,153,142,168
Iso_2_676,127,89,99,124,81,108,109,138,116,89
Iso_2_677,92,81,53,91,105,63,60,61,103,75
Iso_2_678,22,47,24,30,70,26,42,42,54,29
Iso_2_679,100,135,111,73,135,213,116,120,99,56
Iso_2_680,110,118,71,137,96,109,97,39,51,126
Iso_2_681,69,99,17,49,33,74,31,51,88,76
Iso_2_682,312,253,259,377,297,341,214,391,299,333
Iso_2_683,381,478,471,409,240,488,526,439,489,731
Iso_2_684,225,304,168,247,194,276,223,259,243,272
Iso_2_685,2,6,1,7,12,1,5,7,8,5
Iso_2_686,234,275,287,157,176,178,200,239,171,163
Iso_2_687,56,61,118,211,130,75,110,91,90,167
Iso_2_688,0,2,2,2,0,1,0,2,2,0
Iso_2_689,272,264,200,300,286,194,291,197,196,309
Iso_2_690,27,30,26,34,12,20,27,31,28,19
Iso_2_691,158,327,174,206,215,223,152,186,156,143
Iso_2_692,366,274,366,372,447,458,396,417,439,401
Iso_2_693,498,318,428,344,433,356,411,355,420,408
Iso_2_694,4,2,10,9,9,17,7,13,5,8
Iso_2_695,732,935,555,710,836,667,528,701,709,410
Iso_2_696,271,164,179,176,244,182,185,261,221,134
Iso_2_697,117,39,100,40,21,65,134,84,52,67
Iso_2_698,1400,2207,1645,1249,1800,1304,1937,1298,2464,1967
Iso_2_699,360,430,490,549,470,458,401,318,530,396
Iso_2_700,1784,1649,1811,2626,2332,1673,2649,1932,2004,2271
Iso_2_701,77,153,142,175,126,173,185,123,138,120
Iso_2_702,202,310,321,349,337,432,282,396,380,228
Iso_2_703,72,77,89,70,117,62,79,99,49,89
Iso_2_704,219,244,377,305,282,445,294,232,592,255
Iso_2_705,37,33,74,44,12,85,67,50,14,31
Iso_2_706,26,20,7,13,26,10,13,4,13,9
Iso_2_707,230,187,151,182,235,169,134,230,154,234
Iso_2_708,5,4,8,6,8,8,8,10,15,10
Iso_2_709,5,4,1,10,0,2,4,3,8,6
Iso_2_710,126,90,114,122,113,103,189,196,74,136
Iso_2_711,325,583,587,530,530,492,501,497,404,607
Iso_2_712,64,115,63,74,70,86,65,59,97,83
Iso_2_713,100,78,92,197,69,121,68,195,195,54
Iso_2_714,253,370,229,477,329,229,264,280,414,278
Iso_2_715,14,6,6,7,0,11,13,7,7,4
Iso_2_716,280,160,182,171,320,328,268,403,402,337
Iso_2_717,15,13,15,40,21,73,18,36,15,26
Iso_2_718,4,8,11,5,3,2,7,6,7,7
Iso_2_719,25,25,6,24,15,14,15,23,11,2
Iso_2_720,10479,3013,3374,6072,5230,4865,4879,7115,5965,7468
Iso_2_721,1,0,1,4,2,0,5,11,1,3
Iso_2_722,124,93,108,90,115,84,72,129,97,98
Iso_2_723,25,15,41,32,23,22,55,16,27,15
Iso_2_724,674,609,581,555,682,939,696,791,673,655
Iso_2_725,19,16,15,29,14,28,32,22,7,10
Iso_2_726,349,378,194,327,259,379,297,310,251,241
Iso_2_727,242,367,241,337,296,286,264,395,308,399
Iso_2_728,39,23,59,44,65,90,11,15,19,13
Iso_2_729,2,10,4,6,2,7,13,12,4,6
Iso_2_730,54,35,49,61,44,68,47,50,34,50
Iso_2_731,625,645,779,676,651,834,628,732,859,796
Iso_2_732,7,2,14,10,4,6,10,5,7,8
Iso_2_733,24,9,15,8,12,7,6,11,21,0
Iso_2_734,39,42,49,33,27,61,43,38,52,72
Iso_2_735,255,289,304,196,241,280,280,188,235,217
Iso_2_736,273,280,294,218,254,215,212,280,317,298
Iso_2_737,719,1409,651,728,967,1234,878,884,1188,635
Iso_2_738,31,61,38,30,33,40,32,27,43,38
Iso_2_739,21,21,26,32,39,22,23,31,9,35
Iso_2_740,583,509,541,604,436,623,508,674,593,525
Iso_2_741,19,35,18,15,41,6,17,5,42,28
Iso_2_742,1,3,0,1,3,1,1,1,1,2
Iso_2_743,18,24,16,14,18,13,18,20,19,8
Iso_2_744,24,53,23,37,19,42,68,10,81,59
Iso_2_745,441,511,541,598,566,568,523,571,594,841
Iso_2_746,158,84,177,118,171,115,122,172,83,156
Iso_2_747,3,5,2,6,5,6,6,2,6,1
Iso_2_748,455,258,357,402,390,356,348,331,392,258
Iso_2_749,33,48,56,96,86,90,88,65,68,113
Iso_2_750,0,1,0,0,0,0,1,1,0,0
Iso_2_751,71,96,80,67,78,101,87,79,75,111
Iso_2_752,6,1,9,2,10,4,3,6,3,4
Iso_2_753,263,228,253,331,201,188,148,231,162,197
Iso_2_754,827,1097,284,865,601,189,712,356,132,167
Iso_2_755,226,322,263,200,221,203,196,169,317,238
Iso_2_756,9,0,10,4,12,4,2,18,2,6
Iso_2_757,550,769,675,667,554,593,688,612,514,584
Iso_2_758,87,101,60,24,191,102,49,138,104,26
Iso_2_759,2301,3211,2404,2989,2803,2842,3145,2718,2863,2802
Iso_2_760,290,309,244,321,440,352,404,341,450,267
Iso_2_761,33,290,125,133,119,72,43,269,123,105
Iso_2_762,168,329,373,307,215,328,323,304,237,266
Iso_2_763,302,333,261,284,310,429,252,326,288,264
Iso_2_764,2354,2252,3303,1838,2724,2551,2198,2762,2681,2695
Iso_2_765,198,158,180,23,98,98,122,70,54,114
Iso_2_766,1931,1892,1642,1837,1801,2040,1875,1891,2015,2047
Iso_2_767,85,57,137,91,122,145,105,30,56,82
Iso_2_768,66,55,38,46,42,80,27,36,30,53
Iso_2_769,12,26,16,18,10,9,8,28,18,28
Iso_2_770,111,106,52,35,70,48,84,56,135,109
Iso_2_771,6957,5643,6480,8063,4880,6484,8069,5740,6808,6763
Iso_2_772,26,19,28,38,26,34,18,17,18,10
Iso_2_773,4509,4662,3890,3565,4052,3369,4269,3726,3596,5097
Iso_2_774,515,577,662,995,570,1026,470,597,406,473
Iso_2_775,1,2,0,0,1,1,1,4,0,4
Iso_2_776,169,117,78,66,135,49,90,133,141,90
Iso_2_777,61,25,50,65,47,12,19,28,18,55
Iso_2_778,218,264,148,190,266,161,213,157,203,178
